"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FCopySceneColorTexturePS","Global","SF_Pixel","1","561"
"FCopySceneColorToCubeFacePS","Global","SF_Pixel","1","660"
"FCopyShadowMaps2DPS","Global","SF_Pixel","1","312"
"FCopyShadowMapsCubePS","Global","SF_Pixel","1","612"
"FCopyToCubeFaceVS","Global","SF_Vertex","1","551"
"FCopyUIntBufferCS","Global","SF_Compute","1","341"
"FCopyVelocityGridCS","Global","SF_Compute","1","371"
"FCropDistortionDisplacementMapCS","Global","SF_Compute","1","282"
"FCrosshairOverlayPS","Global","SF_Pixel","1","474"
"FCubeDownsampleMaxPS","Global","SF_Pixel","1","828"
"FCubeDownsamplePS","Global","SF_Pixel","1","1006"
"FCubeFilterPS","Global","SF_Pixel","1","1692"
"FCubemapTexturePropertiesPS","Global","SF_Pixel","2","1387"
"FCubemapTexturePropertiesVS","Global","SF_Vertex","1","404"
"FDeferredDecalVS","Global","SF_Vertex","1","298"
"FDeferredLightVS","Global","SF_Vertex","1","534"
"FDeformGuideCS","Global","SF_Compute","5","3778"
"FDesaturatePS","Global","SF_Pixel","1","277"
"FDeviceEncodingOnlyPS","Global","SF_Pixel","3","10666"
"FDistortionApplyScreenPS","Global","SF_Pixel","1","417"
"FDistortionMergeScreenPS","Global","SF_Pixel","2","595"
"FDownsampleCubeFaceCS","Global","SF_Compute","1","1142"
"FDownsampleIntegrateCubemapIlluminancePS","Global","SF_Pixel","1","818"
"FDownsamplePS","Global","SF_Pixel","2","879"
"FDrawTexturePS","Global","SF_Pixel","1","306"
"FDumpTextureCS","Global","SF_Compute","3","723"
"FExrSwizzlePS","Global","SF_Pixel","12","14141"
"FExrSwizzleVS","Global","SF_Vertex","1","461"
"FFXAAPS","Global","SF_Pixel","12","21595"
"FFillSTDisplacementMapPS","Global","SF_Pixel","1","284"
"FFillSTDisplacementMapVS","Global","SF_Vertex","1","566"
"FFilterPS","Global","SF_Pixel","32","17502"
"FFilterVS","Global","SF_Vertex","7","3172"
"FGLTFSimpleElementNormalMapPS","Global","SF_Pixel","1","368"
"FGLTFSimpleTexture2DPS","Global","SF_Pixel","1","229"
"FGPUDebugCrashUtilsCS","Global","SF_Compute","2","557"
"FGPUSceneSetInstancePrimitiveIdCS","Global","SF_Compute","1","966"
